product_name,category,old_price,price,discount_percentage,product_url,image_url,source_page,page_number,raw_text
HP HP BU7E4EA OMNIBOOK 5F...,Autre,9999.0,9499.0,5,https://www.electroplanet.ma/p3121819-hp-bu7e4ea-omnibook-5flip-14-i5-120u-8g-512g-slv.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,HP HP BU7E4EA OMNIBOOK 5F... Promo Prix normal 9 999 DH Prix Spécial 9 499 DH -5% Ajouter au panier
HP HP C2YR8EA OMNIBOOK 5F...,Autre,13999.0,12999.0,7,https://www.electroplanet.ma/p3121820-hp-c2yr8ea-omnibook-5flip-14-i7-150u-16g-512g-slv.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,HP HP C2YR8EA OMNIBOOK 5F... Promo Prix normal 13 999 DH Prix Spécial 12 999 DH -7% Ajouter au panier
ASUS ASUS ZENBOOK UX3405CA ...,Autre,17999.0,15499.0,13,https://www.electroplanet.ma/p3121721-asus-zenbook-ux3405ca-14-oled-wqxga-u9-285h-16g.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,ASUS ASUS ZENBOOK UX3405CA ... Promo Prix normal 17 999 DH Prix Spécial 15 499 DH -13% Ajouter au panier
ASUS ASUS VIVOBOOK E1504FA ...,Autre,6999.0,6499.0,7,https://www.electroplanet.ma/p3121724-asus-vivobook-e1504fa-15-6-r5-7520u-16g-512g-blac.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,ASUS ASUS VIVOBOOK E1504FA ... Promo Prix normal 6 999 DH Prix Spécial 6 499 DH -7% Ajouter au panier
ASUS ASUS VIVOBOOK E1404GA ...,Autre,5499.0,4499.0,18,https://www.electroplanet.ma/p3121718-asus-vivobook-e1404ga-14-i3-n305-8g-256g-w11-blac.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,ASUS ASUS VIVOBOOK E1404GA ... Promo Prix normal 5 499 DH Prix Spécial 4 499 DH -18% Ajouter au panier
TEFAL FRITEUSE EASY FRY EY83...,Cuisine,2399.0,1699.0,29,https://www.electroplanet.ma/p3121608-friteuse-easy-fry-ey8328e0-infrared-7l-noir-tefal.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,TEFAL FRITEUSE EASY FRY EY83... Promo Prix normal 2 399 DH Prix Spécial 1 699 DH -29% Ajouter au panier
ROWENTA PACKSECHECHEVEUXCV184L...,Nettoyage,599.0,399.0,33,https://www.electroplanet.ma/p3121611-packsechecheveuxcv184lf0lisseursf161lf01600wrowen.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,ROWENTA PACKSECHECHEVEUXCV184L... Promo Prix normal 599 DH Prix Spécial 399 DH -33% Ajouter au panier
TEFAL GRILL PANINI ELECTRIQU...,Cuisine,1599.0,999.0,37,https://www.electroplanet.ma/p3121610-grill-panini-electrique-gc450b32-2000w-gr-nr-tefa.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,TEFAL GRILL PANINI ELECTRIQU... Promo Prix normal 1 599 DH Prix Spécial 999 DH -37% Ajouter au panier
MOULINEX FRITEUSE EASY FRY EZ24...,Cuisine,1999.0,999.0,50,https://www.electroplanet.ma/p3121607-friteuse-easy-fry-ez245820-max-5l-moulinex.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,MOULINEX FRITEUSE EASY FRY EZ24... Promo Prix normal 1 999 DH Prix Spécial 999 DH -50% Ajouter au panier
"MOULINEX BLENDEO LM2C31M2 1,5L ...",Autre,419.0,299.0,28,https://www.electroplanet.ma/p3121605-blendeo-lm2c31m2-1-5l-2v-450w-blanc-moulinex.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,"MOULINEX BLENDEO LM2C31M2 1,5L ... Promo 100% (1) Prix normal 419 DH Prix Spécial 299 DH -28% Ajouter au panier"
MSI MSI ECRAN PC GAMING 27...,Ordinateur,2599.0,2149.0,17,https://www.electroplanet.ma/p3121521-msi-ecran-pc-gaming-27-ref-mag-274qf-x24.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,MSI MSI ECRAN PC GAMING 27... Promo Prix normal 2 599 DH Prix Spécial 2 149 DH -17% Ajouter au panier
TEFAL BATTERIEDECUISINE INGE...,Cuisine,1999.0,899.0,55,https://www.electroplanet.ma/p3121469-batteriedecuisine-ingeni-l8978s04-8pcs-inox-tefal.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,TEFAL BATTERIEDECUISINE INGE... Promo Prix normal 1 999 DH Prix Spécial 899 DH -55% Ajouter au panier
TEFAL SETSAUTEUSE24 AVCCOUV ...,Cuisine,629.0,399.0,36,https://www.electroplanet.ma/p3121470-setsauteuse24-avccouv-ec093204-casserol-14cm-tefa.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,TEFAL SETSAUTEUSE24 AVCCOUV ... Promo Prix normal 629 DH Prix Spécial 399 DH -36% Ajouter au panier
TEFAL SET 2 CASSEROLES 16/20...,Cuisine,399.0,299.0,25,https://www.electroplanet.ma/p3121468-batteriedecuisine-inegeni-l7629302-3pcs-black-tef.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,TEFAL SET 2 CASSEROLES 16/20... Promo Prix normal 399 DH Prix Spécial 299 DH -25% Ajouter au panier
